obj_id	age	sex	jjiasu	jjiansu	jzhwan	jshache	avg_mileage	avg_time	night_time	avg_speed	avg_fuel	cxgl
14081414293838501	42	1	1.3846	3.6154	0.3846	0.2308	51.1539230769	84.406409230	4.5385	32.4615	11.575385	0.13734615
14083015051237213	40	1	7.5238	6.7619	0.3333	0.0476	100.1441428571	147.991270952	11.6667	26.5714	9.430476	0.24055238
14090510082851968	40	0	1.6522	1.4348	0.0000	0.0000	26.8235652174	54.113043043	0.6957	18.8261	9.552174	0.06098696
14090512403659096	41	1	8.5333	10.2333	0.4333	0.2333	121.8770000000	186.409444333	8.9333	38.4000	7.817667	0.32375
14091114434819731	32	0	23.3448	6.5517	1.0345	0.1034	61.8074827586	92.172989310	10.2414	33.1379	8.251379	0.24591034
14091217403315632	26	1	2.8750	2.1250	0.0000	0.0000	37.2013750000	83.983333750	7.0000	18.5000	6.587500	0.145525
14091612070089103	19	1	1.0000	4.0000	0.1154	0.0000	145.1388846154	220.662820000	22.9615	29.0769	13.546538	0.23658077
14092116003886398	30	0	0.2000	1.6667	0.2000	0.0000	48.1586666667	131.422778000	11.5667	20.8667	9.703333	0.07975667
14111612303721035	32	1	1.6522	0.8696	0.1739	0.0000	57.2383478261	114.857970869	2.7391	24.1304	8.153913	0.08453478
14111916340421416	25	1	5.1034	10.3448	0.3448	0.1724	100.0197586207	176.814368275	4.7241	30.8966	5.763103	0.41082759
14112410393289853	35	1	3.3793	1.6897	0.6207	0.0000	26.6194137931	50.622413793	5.1379	31.0690	12.796207	0.13713793
14120809245770546	31	1	0.0667	3.2667	0.1667	0.1333	56.3986000000	114.666666666	8.5667	25.5000	8.272333	0.13166667
14121711301814406	28	0	2.1429	5.1429	0.0000	0.2857	16.9312857143	48.004762857	9.1429	19.5714	7.217143	0.11424286
14122417283818243	28	1	14.8065	6.0645	0.0968	0.0645	97.1022258065	229.576343548	28.4516	23.0968	10.175806	0.34361613
14122717472415910	35	1	1.5000	2.6333	0.2333	0.0000	95.0173666667	174.163333000	14.4667	29.9667	6.589667	0.14030333
15010410144023882	56	1	1.4286	2.0000	0.3810	0.0000	62.5054761905	90.500793333	8.5238	40.3333	5.915238	0.07976667
